Auteur,Date,Commentaire,Note
Natacha,2024-08-06,je debute en running sans vouloir prendre le re prix et sans besoin dinvestir dans des chaussures trop onereuses cette paire est un bon compromis on ressent bien lamorti au sol pas de douleurs ni aux pieds ni aux genoux,5
Fabien,2024-08-06,qualite prix au top,4
Perrine,2024-08-06,legeres et pratiques,4
RICHARD,2024-08-04,c la deuxieme paire que jachete car jen suis tres contente tres confortable,5
ROBERT,2024-08-03,une chaussure qui convient parfaitement a ma forme de pied jen ai plusieurs que jutilise quotidiennement pour le sport comme pour le loisir,5
Alice,2024-08-03,tres satisfaite de ces chaussures pour une pratique reguliere du running sur chemin tres bon rapport qualite prix,5
Veronique,2024-08-03,bon produit,5
KILLIAN,2024-08-02,top,5
Aimie,2024-08-01,deja ma deuxieme paire achetee pas utilisee pour courir mais pour promener le chien plusieurs fois par jour de vrais chaussons mais j ai un petit doute concernant l amorti pour courir,5
Philippe,2024-07-31,bon produit pour debutant,5
CARLOS,2024-07-31,legere et agreable pour une reprise,4
Valérie,2024-07-30,jaime son look et son confort,5
Carine,2024-08-01,pas adapte a mon utilisation course a pied trail dessus,3
Michele,2024-07-30,des annees que jutilise tout les jours mes baskets km par jour toujours les memes,5
Christine,2024-07-29,taille petit,5
Matthieu,2024-07-31,jutilise ces baskets pour de la marche active en ville environ kmmois et du fitness achetee en mai dernier la semelle est deja bien usee donc ce sont de bonnes chaussures mais pour des entrees de gamme a eur et destinees au trail je trouve que cest vraiment juste en terme de longevite,5
Dominique,2024-07-28,tres confortable,4
Pierre,2024-07-26,super,5
Céline,2024-07-25,les chaussures sont agreables a porter et legeres,4
Isabelle,2024-07-25,je prends ses baskets pour ma fille pour le sport quelle pratique au lycee et en dehors baskets qui tiennent dans le temps le bemol tarif qui a augmente par rapport a lan dernier de euros,5
Virginie,2024-07-25,ideale bon amorti,5
Céline,2024-07-24,ras,4
AURELIE,2024-07-24,design bien mais pas assez rigide au niveau du talon cheville,3
patricia,2024-07-23,legere et confortable,4
Pascal,2024-07-23,parfait,5
Joël,2024-07-23,bonne qualite,5
Martine,2024-07-23,bonne accroche sur tout terrain me convient tres bien,5
Lydia,2024-07-25,bien,5
Cédric,2024-07-25,ma fille est enchantee,5
Roxane,2024-07-22,tres bien,5
FRANCK,2024-07-22,tres bon rapport qualite prix tres bien pour des randonnees simples et occasionnelles,5
Kathy,2024-07-25,paire achetee en fevrier et debut juin le tissu est deja troue a plusieurs endroits et les crampons ont quasiment disparu a acheter si vous ne faites pas de sport au final,2
farida,2024-07-22,semelle un peu glissante au sol,5
SEBASTIEN,2024-07-22,bonne chaussure,5
Eric,2024-07-21,tres confortables,4
Jean-luc,2024-07-23,basic,4
Rahimina,2024-07-20,bon produit,4
Valerie,2024-07-20,teste que sur km sinon pratique de la marche gym tonic zumba,5
SANDRINE,2024-07-20,super achat jen suis pleinement satisfaite je recommande fortement ces baskets,5
Patricia,2024-07-22,tres satisfaite de mes baskets aimerai des couleurs fluo orange jaune,5
Marine,2024-07-19,confortable pour les activites lete,5
Elodie,2024-07-19,confortable resistante bon maintien,5
Lydie,2024-07-18,excellent produit tres confortable,5
Monique,2024-07-17,tres contente de mon achat,5
